CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
JED;SAUD;JEDDAH;KHI;PAKI;KARACHI;421 000;2 874
HOU;UNST;HOUSTON **;HRL;UNST;HARLINGEN;419 712;453
BKK;THAI;BANGKOK;SYD;ASTL;SYDNEY;419 370;7 538
BWI;UNST;BALTIMORE;RDU;UNST;RALEIGH/DURHAM;419 046;411
CLE;UNST;CLEVELAND;STL;UNST;ST LOUIS;418 846;782
ELP;UNST;EL PASO;PHX;UNST;PHOENIX;418 128;559
BCN;SPAN;BARCELONA;ROM;ITAL;ROMA **;417 988;845
AMS;NETH;AMSTERDAM;YTO;CAND;TORONTO;417 463;5 986
BRU;BELG;BRUSSELS;ZRH;SWTZ;ZURICH;417 383;484
VIE;AUST;VIENNA;ZRH;SWTZ;ZURICH;416 497;601
CHI;UNST;CHICAGO **;MEX;MEXC;MEXICO CITY;415 160;2 716
LON;UNKG;LONDON **;MAH;SPAN;MAHON;414 999;1 329
PDX;UNST;PORTLAND;SNA;UNST;ORANGE COUNT;414 784;1 384
MAN;UNKG;MANCHESTER;NYC;UNST;NEW YORK **;414 410;5 364
OSD;SWED;OSTERSUND;STO;SWED;STOCKHOLM **;413 667;464
PDX;UNST;PORTLAND;SEA;UNST;SEATTLE;412 996;209
NYC;UNST;NEW YORK **;ZRH;SWTZ;ZURICH;412 787;6 312
PAR;FRAN;PARIS **;RAK;MORC;MARRAKECH;412 321;2 093
AMS;NETH;AMSTERDAM;TLV;ISRL;TEL AVIV;412 121;3 311
AYT;TURK;ANTALYA;FRA;GERF;FRANKFURT;411 679;2 295
FRA;GERF;FRANKFURT;STO;SWED;STOCKHOLM **;410 949;1 195
SYD;ASTL;SYDNEY;TYO;JAPN;TOKYO **;410 337;7 811
AMS;NETH;AMSTERDAM;BHX;UNKG;BIRMINGHAM;409 968;443
CHI;UNST;CHICAGO **;YMQ;CAND;MONTREAL **;409 764;1 199
SPC;SPNA;LA PALMA;TCI;SPNA;TENERIFE **;409 575;123
LON;UNKG;LONDON **;PSA;ITAL;PISA;408 295;1 191
MIA;UNST;MIAMI **;PAP;HAIT;PORT AU PRINCE;408 064;1 147
MUC;GERF;MUNICH;PMI;SPAN;PALMA DE MALLORCA;407 978;1 192
MSP;UNST;MINNEAPOLIS;PHL;UNST;PHILADELPHIA;407 884;1 573
ORL;UNST;ORLANDO;PHX;UNST;PHOENIX;407 504;2 962
ATL;UNST;ATLANTA;PBI;UNST;PALM BEACH;406 684;879
RDU;UNST;RALEIGH/DURHAM;TPA;UNST;TAMPA, FL **;406 566;946
MIL;ITAL;MILANO **;SSH;EGYP;SHARM EL SHEIKH;405 811;2 966
CLT;UNST;CHARLOTTE;DAL;UNST;DALLAS **;405 706;1 501
BUE;ARGT;BUENOS AIRES **;MVD;URUG;MONTEVIDEO;405 685;206
ACE;SPNA;ARRECIFE;MAD;SPAN;MADRID **;405 627;1 572
BNA;UNST;NASHVILLE;HOU;UNST;HOUSTON **;405 486;1 079
HOU;UNST;HOUSTON **;MKC;UNST;KANSAS CITY;405 210;1 054
DEN;UNST;DENVER;DET;UNST;DETROIT **;405 080;1 821
